,,,,,,,,,,
POZO,PEGDA (%),LAP (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PEGDA/LAP,Ratio PEGDA/AGUA,DIA ESTUDIO,Altura (mm)
A1,24.154,0.050,274.51,14.758,5.376,35,479.22,0.319,1,5.22
A2,24.154,0.050,183.202,12.212,6.666,42,479.22,0.319,1,5.02
A3,24.154,0.050,208.867,10.209,4.888,49,479.22,0.319,1,4.94
A4,12.562,0.053,49.277,8.161,16.561,56,236.76,0.144,1,4.48
A5,12.562,0.053,60.961,9.682,15.882,63,236.76,0.144,1,4.72
A6,12.562,0.053,56.057,10.427,18.601,70,236.76,0.144,1,4.44
A7,20.744,0.054,99.932,10.675,10.682,77,386.44,0.262,1,4.82
A8,20.744,0.054,102.075,11.092,10.867,84,386.44,0.262,1,4.9
A9,20.744,0.054,83.814,7.932,9.464,91,386.44,0.262,1,4.98
A10,28.671,0.055,474.762,13.388,2.820,98,523.68,0.402,1,5.06
A11,28.671,0.055,447.861,15.267,3.409,105,523.68,0.402,1,5.02
A12,28.671,0.055,468.171,14.83,3.168,112,523.68,0.402,1,5.16
B1,15.599,0.057,18.216,8.653,47.502,119,272.27,0.185,1,4.58
B2,15.599,0.057,35.957,9.648,26.832,126,272.27,0.185,1,4.58
B3,15.599,0.057,31.553,7.736,24.517,133,272.27,0.185,1,4.6
B4,18.794,0.058,44.695,8.604,19.250,140,322.55,0.232,1,4.7
B5,18.794,0.058,45.248,7.598,16.792,147,322.55,0.232,1,4.74
B6,18.794,0.058,41.984,7.104,16.921,154,322.55,0.232,1,4.7
B7,25.830,0.060,283.062,12.87,4.547,161,429.31,0.349,1,4.92
B8,25.830,0.060,268.744,12.872,4.790,168,429.31,0.349,1,4.96
B9,25.830,0.060,286.987,14.07,4.903,175,429.31,0.349,1,4.96
B10,11.041,0.061,47.421,8.374,17.659,182,180.40,0.124,1,4.48
B11,11.041,0.061,55.943,8.316,14.865,189,180.40,0.124,1,4.52
B12,11.041,0.061,19.486,7.214,37.021,196,180.40,0.124,1,4.62
C1,22.542,0.064,111.611,14.263,12.779,203,352.64,0.291,1,4.84
C2,22.542,0.064,136.959,14.512,10.596,210,352.64,0.291,1,4.82
C3,22.542,0.064,150.514,12.37,8.219,217,352.64,0.291,1,4.86
