,,,,,,,,,,,,,
POZO,PEGDA (%),PVA (%),LAP (%),Agua (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PVA/PEGDA,Ratio LAP/PEGDA,Ratio Polimero/Agua,DIA ESTUDIO,Altura (mm)
A1,10,3,0.06,86.94,ERROR,,,35,0.300,0.006,0.150,1,
A2,11,4,0.15,84.85,1.752,2.308,131.74,42,0.364,0.014,0.177,1,4.08
A3,9,3,0.07,87.93,ERROR,,,49,0.333,0.008,0.136,1,
A4,17,3,0.15,79.85,58.127,6.751,11.61,56,0.176,0.009,0.250,1,5.14
A5,11,1,0.15,87.85,87.246,7.42,8.50,63,0.091,0.014,0.137,1,5.02
A6,11,3,0.17,85.83,ERROR,,,70,0.273,0.015,0.163,1,
A7,27,1,0.08,71.92,1016.457,25.902,2.55,77,0.037,0.003,0.389,1,5.46
A8,24,2,0.11,73.89,266.687,11.932,4.47,84,0.083,0.005,0.352,1,5.64
A9,12,0,0.06,87.94,141.679,7.496,5.29,91,0.000,0.005,0.136,1,4.94
A10,12,5,0.06,82.94,ERROR,,,98,0.417,0.005,0.205,1,
A11,14,5,0.11,80.89,NG,,,105,0.357,0.008,0.235,1,
A12,18,3,0.08,78.92,126.196,8.025,6.36,112,0.167,0.004,0.266,1,5.54
B1,14,2,0.1,83.9,50.825,8.725,17.17,119,0.143,0.007,0.191,1,5.2
B2,13,5,0.06,81.94,319.098,14.136,4.43,126,0.385,0.005,0.220,1,4.02
B3,16,0,0.13,83.87,275.528,8.287,3.01,133,0.000,0.008,0.191,1,5.04
B4,15,5,0.11,79.89,413.124,15.947,3.86,140,0.333,0.007,0.250,1,3.76
B5,25,1,0.09,73.91,913.515,11.568,1.27,147,0.040,0.004,0.352,1,5.48
B6,10,4,0.09,85.91,1.075,0.612,56.93,154,0.400,0.009,0.163,1,3.72
B7,11,3,0.17,85.83,ERROR,,,161,0.273,0.015,0.163,1,
B8,14,5,0.11,80.89,117.15,19.821,16.92,168,0.357,0.008,0.235,1,4.06
B9,14,5,0.11,80.89,14.79,6.285,42.49,175,0.357,0.008,0.235,1,3.84
B10,19,3,0.14,77.86,78.28,6.867,8.77,182,0.158,0.007,0.283,1,5.26
B11,11,1,0.19,87.81,65.595,9.683,14.76,189,0.091,0.017,0.137,1,5.1
B12,16,0,0.13,83.87,376.614,11.128,2.95,196,0.000,0.008,0.191,1,5.22
C1,9,1,0.09,89.91,119.279,11.491,9.63,203,0.111,0.010,0.111,1,5.22
C2,22,7,0.05,70.95,281.432,8.82,3.13,210,0.318,0.002,0.409,1,5.36
C3,16,6,0.13,77.87,85.792,7.015,8.18,217,0.375,0.008,0.283,1,5.2
C4,11,3,0.17,85.83,1.583,0.599,37.84,224,0.273,0.015,0.163,1,4.24
C5,10,3,0.08,86.92,ERROR,,,231,0.300,0.008,0.150,1,
C6,21,1,0.09,77.91,590.353,15.151,2.57,238,0.048,0.004,0.282,1,5.4
C7,24,0,0.18,75.82,960.17,10.629,1.11,245,0.000,0.008,0.317,1,5.26
C8,10,3,0.06,86.94,1.863,0.814,43.69,252,0.300,0.006,0.150,1,3.9
C9,22,7,0.05,70.95,109.478,7.633,6.97,259,0.318,0.002,0.409,1,5.3
C10,25,4,0.15,70.85,782.433,21.122,2.70,266,0.160,0.006,0.409,1,5.78
C11,15,5,0.11,79.89,1.006,0.943,93.74,273,0.333,0.007,0.250,1,4.2
C12,12,5,0.06,82.94,ERROR,,,280,0.417,0.005,0.205,1,
D1,11,4,0.15,84.85,ERROR,,,287,0.364,0.014,0.177,1,
D2,12,0,0.06,87.94,101.04,8.668,8.58,294,0.000,0.005,0.136,1,4.82
D3,10,3,0.08,86.92,ERROR,,,301,0.300,0.008,0.150,1,
D4,21,1,0.09,77.91,696.91,12.578,1.80,308,0.048,0.004,0.282,1,5.34
D5,11,1,0.19,87.81,83.217,11.829,14.21,315,0.091,0.017,0.137,1,4.7
D6,19,3,0.14,77.86,1.588,2.663,167.70,322,0.158,0.007,0.283,1,4.52
D7,14,4,0.1,81.9,1.416,0.746,52.68,329,0.286,0.007,0.220,1,4.38
D8,11,1,0.15,87.85,77.706,8.757,11.27,336,0.091,0.014,0.137,1,4.9
D9,9,2,0.12,88.88,23.39,6.913,29.56,343,0.222,0.013,0.124,1,4.64
D10,25,4,0.15,70.85,888.238,21.417,2.41,350,0.160,0.006,0.409,1,5.8
D11,16,6,0.13,77.87,1.572,1.106,70.36,357,0.375,0.008,0.283,1,4.8
D12,11,4,0.15,84.85,1.558,0.687,44.09,364,0.364,0.014,0.177,1,4.16
E1,18,3,0.08,78.92,51.277,10.825,21.11,371,0.167,0.004,0.266,1,4.76
E2,9,3,0.07,87.93,ERROR,,,378,0.333,0.008,0.136,1,
E3,18,3,0.14,78.86,74.32,8.862,11.92,385,0.167,0.008,0.266,1,4.96
E4,9,2,0.12,88.88,25.192,5.821,23.11,392,0.222,0.013,0.124,1,4.7
E5,13,5,0.06,81.94,1.237,1.166,94.26,399,0.385,0.005,0.220,1,4.22
E6,25,1,0.09,73.91,900.318,20.214,2.25,406,0.040,0.004,0.352,1,5.4
E7,16,6,0.13,77.87,1.544,1.654,107.12,413,0.375,0.008,0.283,1,4.76
E8,16,0,0.13,83.87,387.969,10.342,2.67,420,0.000,0.008,0.191,1,4.92
E9,15,5,0.11,79.89,0.827,0.545,65.90,427,0.333,0.007,0.250,1,4.26
E10,13,5,0.06,81.94,0.955,0.904,94.66,434,0.385,0.005,0.220,1,3.72
E11,24,2,0.11,73.89,295.212,11.069,3.75,441,0.083,0.005,0.352,1,5.5
E12,24,0,0.18,75.82,843.893,15.765,1.87,448,0.000,0.008,0.317,1,5.6
F1,12,0,0.06,87.94,114.441,11.926,10.42,455,0.000,0.005,0.136,1,4.78
F2,10,4,0.09,85.91,0.861,0.651,75.61,462,0.400,0.009,0.163,1,3.66
F3,27,1,0.08,71.92,1020.603,18.791,1.84,469,0.037,0.003,0.389,1,5.4
F4,21,1,0.09,77.91,698.568,17.631,2.52,476,0.048,0.004,0.282,1,5.2
F5,14,4,0.1,81.9,2.016,1.62,80.36,483,0.286,0.007,0.220,1,4.4
F6,25,4,0.15,70.85,859.108,17.72,2.06,490,0.160,0.006,0.409,1,5.72
F7,16,6,0.18,77.82,NG,,,497,0.375,0.011,0.283,1,
F8,11,1,0.19,87.81,96.339,7.396,7.68,504,0.091,0.017,0.137,1,4.92
F9,9,1,0.09,89.91,2.716,1.366,50.29,511,0.111,0.010,0.111,1,4.82
F10,25,1,0.09,73.91,521.637,15.453,2.96,518,0.040,0.004,0.352,1,5.56
F11,14,4,0.1,81.9,1.523,1.017,66.78,525,0.286,0.007,0.220,1,4.68
F12,20,8,0.12,71.88,NG,,,532,0.400,0.006,0.390,1,
G1,22,7,0.05,70.95,189.221,14.78,7.81,539,0.318,0.002,0.409,1,4.92
G2,10,3,0.08,86.92,1.226,0.683,55.71,546,0.300,0.008,0.150,1,3.78
G3,17,3,0.15,79.85,55.452,10.045,18.11,553,0.176,0.009,0.250,1,4.88
G4,18,3,0.14,78.86,57.949,7.744,13.36,560,0.167,0.008,0.266,1,4.94
G5,20,8,0.12,71.88,NG,,,567,0.400,0.006,0.390,1,
G6,18,3,0.14,78.86,50.758,10.081,19.86,574,0.167,0.008,0.266,1,4.82
G7,12,5,0.06,82.94,ERROR,,,581,0.417,0.005,0.205,1,
G8,9,2,0.12,88.88,39.162,6.348,16.21,588,0.222,0.013,0.124,1,4.64
G9,14,2,0.1,83.9,132.179,9.756,7.38,595,0.143,0.007,0.191,1,5.1
G10,18,3,0.08,78.92,99.293,7.975,8.03,602,0.167,0.004,0.266,1,5.34
